_id,name,age,gender,city,state,country,primaryLang,languages,joinedAt,education,profession,interests,purpose,thirdParty,community
68b9295d427214137a735189,Yash Joshi,22,male,Patna,,India,hi,"hi,en",2018-05-16,undergrad,manager,movies,business,True,0
68b9295d427214137a73518a,Aakash Sharma,40,male,Thiruvananthapuram,,India,hi,"hi,en",2022-07-01,undergrad,doctor,"politics,travel",gaming,True,0
68b9295d427214137a73518b,Ira Nair,35,female,Kochi,,India,ml,"ml,en",2024-05-10,postgrad,other,"fitness,politics",networking,False,0
68b9295d427214137a73518c,Tanvi Joshi,26,female,Thiruvananthapuram,,India,ml,"ml,en",2017-06-27,undergrad,sales,"travel,gaming,politics",networking,False,0
68b9295d427214137a73518d,Aarav Nair,32,male,Kolkata,,India,ta,"ta,en,as",2017-12-27,phd,teacher,sports,gaming,True,0
68b9295d427214137a73518e,Sagar Patel,25,male,Hyderabad,,India,pa,"pa,en",2016-09-21,phd,data_scientist,"fashion,music,science",news,False,0
68b9295d427214137a73518f,Kabir Deshmukh,60,male,Bhubaneswar,,India,or,or,2020-01-19,other,lawyer,"travel,gaming,science",business,False,0
68b9295d427214137a735190,Neha Mehta,21,female,Kolkata,,India,bn,bn,2023-08-13,highschool,developer,"fitness,tech,photography",news,False,0
68b9295d427214137a735191,Kabir Reddy,36,male,Bhubaneswar,,India,or,"or,en",2024-09-10,highschool,researcher,"cooking,tech",business,False,0
68b9295d427214137a735192,Sagar Nair,40,male,Mumbai,,India,mr,"mr,en,kn",2025-08-17,highschool,student,"fitness,politics,photography",learning,True,0
68b9295d427214137a735193,Neha Gupta,56,female,Kochi,,India,mr,"mr,en",2023-07-20,undergrad,researcher,reading,socializing,False,0
68b9295d427214137a735194,Ankit Sharma,29,male,Kochi,,India,or,or,2017-09-06,other,doctor,nature,business,False,0
68b9295d427214137a735195,Rajat Deshmukh,50,male,Guwahati,,India,as,"as,en",2020-04-13,highschool,developer,fashion,socializing,False,0
68b9295d427214137a735196,Siddharth Singh,27,male,Chennai,,India,ta,"ta,en",2017-09-18,phd,artist,art,business,False,0
68b9295d427214137a735197,Arjun Kapoor,56,male,Ahmedabad,,India,as,"as,en",2023-03-26,highschool,student,nature,socializing,False,0
68b9295d427214137a735198,Rajat Chatterjee,32,male,Mumbai,,India,pa,"pa,en,mr",2019-08-12,highschool,engineer,cooking,socializing,False,0
68b9295d427214137a735199,Aisha Patel,22,female,Delhi,,India,or,or,2022-05-05,phd,artist,sports,news,False,0
68b9295d427214137a73519a,Yash Kapoor,44,male,Thiruvananthapuram,,India,ml,"ml,en",2018-11-07,undergrad,researcher,"gaming,art,science",socializing,False,0
68b9295d427214137a73519b,Sanya Singh,21,female,Kochi,,India,ml,"ml,en",2022-07-14,phd,artist,sports,business,False,0
68b9295d427214137a73519c,Yash Bose,38,male,Bhopal,,India,hi,hi,2023-01-12,other,manager,"nature,music,travel",gaming,False,0
68b9295d427214137a73519d,Diya Banerjee,53,female,Hyderabad,,India,te,"te,en",2017-04-01,undergrad,doctor,"music,sports,science",business,False,0
68b9295d427214137a73519e,Mira Mukherjee,35,female,Bhubaneswar,,India,or,"or,en,ta",2025-01-02,postgrad,doctor,travel,news,True,0
68b9295d427214137a73519f,Meera Reddy,45,female,Bengaluru,,India,kn,"kn,en",2023-10-26,postgrad,researcher,gaming,business,False,0
68b9295d427214137a7351a0,Sneha Mehta,35,female,Jaipur,,India,hi,"hi,en,bn",2020-04-22,highschool,doctor,"art,nature,travel",socializing,False,0
68b9295d427214137a7351a1,Ishita Chatterjee,45,female,Patna,,India,hi,"hi,en",2020-10-03,phd,doctor,"fitness,photography",business,True,0
68b9295d427214137a7351a2,Kavya Patel,43,female,Ahmedabad,,India,kn,kn,2023-01-06,other,researcher,"gaming,photography,reading",socializing,False,0
68b9295d427214137a7351a3,Neha Gupta,49,female,Lucknow,,India,hi,"hi,en",2025-09-13,other,sales,"photography,politics",news,True,0
68b9295d427214137a7351a4,Ananya Chatterjee,40,female,Kochi,,India,ml,"ml,en",2023-05-08,undergrad,artist,cooking,gaming,False,0
68b9295d427214137a7351a5,Rahul Bose,60,male,Bengaluru,,India,kn,"kn,en",2019-09-06,other,other,gaming,gaming,True,0
68b9295d427214137a7351a6,Riya Gupta,40,female,Bhubaneswar,,India,or,or,2016-11-14,undergrad,sales,politics,socializing,True,0
68b9295d427214137a7351a7,Neha Joshi,46,female,Bengaluru,,India,kn,"kn,en",2020-07-06,phd,engineer,tech,gaming,True,0
68b9295d427214137a7351a8,Aman Gupta,47,male,Bhubaneswar,,India,or,"or,en",2021-04-16,undergrad,student,"art,fitness",networking,True,0
68b9295d427214137a7351a9,Sanya Deshmukh,45,female,Thiruvananthapuram,,India,ml,ml,2020-06-04,postgrad,data_scientist,fitness,news,False,0
68b9295d427214137a7351aa,Aarohi Mehta,42,female,Delhi,,India,hi,"hi,en",2024-05-17,postgrad,doctor,"sports,fashion,movies",learning,False,0
68b9295d427214137a7351ab,Rohan Reddy,60,male,Bhopal,,India,hi,"hi,en",2025-09-20,highschool,data_scientist,"tech,gaming",business,False,0
68b9295d427214137a7351ac,Aisha Reddy,47,female,Bengaluru,,India,or,"or,en",2024-11-06,undergrad,data_scientist,"fashion,art,travel",gaming,False,0
68b9295d427214137a7351ad,Nisha Banerjee,44,female,Patna,,India,hi,"hi,en",2023-06-23,undergrad,student,"art,music,travel",gaming,True,0
68b9295d427214137a7351ae,Nikhil Singh,40,male,Patna,,India,hi,"hi,en",2018-08-19,postgrad,artist,music,business,False,0
68b9295d427214137a7351af,Jahnvi Reddy,16,female,Pune,,India,mr,"mr,en",2022-06-20,postgrad,engineer,fitness,networking,True,0
68b9295d427214137a7351b0,Ananya Bhat,18,female,Chennai,,India,ta,ta,2018-12-24,other,manager,"nature,science,reading",socializing,False,0
68b9295d427214137a7351b1,Ishita Deshmukh,31,female,Chennai,,India,mr,"mr,en",2018-07-26,undergrad,artist,"tech,fashion",business,False,0
68b9295d427214137a7351b2,Vikram Mukherjee,19,male,Ahmedabad,,India,gu,"gu,en,te",2019-11-25,phd,artist,fashion,business,False,0
68b9295d427214137a7351b3,Sanya Bhat,41,female,Jaipur,,India,hi,hi,2017-12-16,other,sales,"gaming,fashion",news,False,0
68b9295d427214137a7351b4,Jahnvi Kapoor,46,female,Chennai,,India,ta,"ta,en,pa",2025-03-08,undergrad,researcher,"fashion,fitness,art",business,False,0
68b9295d427214137a7351b5,Sagar Mehta,30,male,Bengaluru,,India,kn,"kn,en",2024-05-04,undergrad,developer,cooking,news,True,0
