_id,name,louvain_comm
1,Yash Joshi,11
334,Nikhil Banerjee,11
2172,Ananya Joshi,1
60,Ira Chatterjee,11
208,Rohan Reddy,11
8277,Aman Patel,11
4887,Kavya Patel,2
422,Ananya Joshi,11
389,Vikram Bhat,11
14826,Jahnvi Gowda,11
192,Ishita Iyer,11
323,Kabir Banerjee,11
408,Ishita Mukherjee,11
65,Diya Banerjee,11
113,Priya Joshi,11
2,Aakash Sharma,11
51,Dev Mehta,11
264,Jahnvi Khan,11
229,Pooja Verma,11
123,Ira Banerjee,11
272,Sanya Singh,11
373,Tanvi Bose,11
401,Siddharth Mehta,11
1252,Ishita Deshmukh,0
433,Dev Mehta,11
5676,Pooja Bhat,9
3,Ira Nair,11
23,Meera Reddy,11
232,Neha Iyer,11
14630,Vikram Mehta,11
404,Vikram Patel,11
2606,Sneha Kapoor,3
438,Jahnvi Deshmukh,11
416,Rohan Sharma,11
8697,Kavya Khan,5
148,Mira Gowda,11
25,Ishita Chatterjee,11
5294,Rohit Kapoor,9
4,Tanvi Joshi,11
172,Priya Sharma,11
187,Ira Singh,11
240,Sneha Agarwal,11
257,Ira Iyer,11
333,Rahul Gupta,11
5,Aarav Nair,11
14398,Rahul Mukherjee,11
14474,Kavya Reddy,11
304,Harsh Gupta,11
142,Harsh Bose,11
41,Ishita Deshmukh,11
120,Siddharth Chatterjee,11
343,Mira Gupta,11
5163,Ira Bhat,9
8278,Aakash Bose,5
400,Rohit Kapoor,11
8540,Meera Nair,5
13222,Sagar Joshi,7
11881,Siddharth Nair,11
5610,Arjun Gupta,9
157,Nikhil Chatterjee,11
345,Meera Mukherjee,11
70,Siddharth Bose,11
198,Kavya Gowda,11
339,Rohan Nair,11
4194,Dev Sharma,8
6,Sagar Patel,11
3099,Jahnvi Banerjee,4
14898,Ananya Nair,11
428,Priya Singh,11
6528,Ankit Chatterjee,12
403,Ira Mehta,11
2293,Ananya Joshi,1
301,Aarav Iyer,11
98,Harsh Sharma,11
376,Siddharth Mukherjee,11
330,Ananya Reddy,11
116,Jahnvi Gowda,11
11112,Rajat Reddy,11
448,Zoya Reddy,11
285,Varun Mehta,11
2921,Rahul Reddy,3
409,Ira Verma,11
265,Kunal Joshi,11
368,Jahnvi Mukherjee,11
231,Ananya Khan,11
7,Kabir Deshmukh,11
247,Sagar Banerjee,11
14876,Nisha Nair,7
279,Harsh Nair,11
596,Aditi Verma,7
274,Aakash Patel,11
321,Tanvi Chatterjee,11
46,Aarav Patel,11
93,Priya Mehta,11
3542,Kunal Reddy,4
349,Aman Gowda,11
10100,Harsh Sharma,11
346,Jahnvi Reddy,11
141,Sanya Bhat,11
12844,Vikram Bhat,3
8,Neha Mehta,11
14862,Ishita Patel,0
7406,Meera Agarwal,13
10157,Sneha Gupta,11
11080,Aman Bose,11
241,Pooja Bose,11
6258,Rajat Banerjee,10
9,Kabir Reddy,11
6030,Siddharth Mehta,10
8064,Mira Iyer,6
14559,Ishita Mukherjee,11
405,Rohit Banerjee,11
200,Kabir Patel,11
178,Ishita Patel,11
549,Vikram Verma,7
10197,Rohan Patel,11
10,Sagar Nair,11
454,Sagar Bose,11
11281,Ishita Mehta,11
1092,Aditi Agarwal,0
174,Rohan Khan,11
402,Meera Singh,11
45,Sagar Mehta,11
11,Neha Gupta,11
2634,Varun Sharma,3
7605,Nisha Nair,6
261,Aakash Kapoor,11
5013,Kavya Iyer,2
143,Neha Joshi,11
11035,Rohan Kapoor,11
13210,Nikhil Bhat,11
12,Ankit Sharma,11
133,Nisha Iyer,11
4359,Ananya Patel,8
4927,Rajat Bhat,2
436,Meera Mukherjee,11
281,Yash Iyer,11
169,Sneha Sharma,11
13384,Meera Mehta,11
13414,Naveen Singh,7
11755,Arjun Agarwal,11
7454,Zoya Mehta,13
176,Siddharth Bhat,11
325,Mira Gowda,11
13,Rajat Deshmukh,11
10428,Tanvi Agarwal,3
14,Siddharth Singh,11
387,Naveen Mukherjee,11
13876,Priya Reddy,11
14252,Aarav Khan,11
9234,Ananya Verma,11
103,Siddharth Kapoor,11
10478,Dev Kapoor,7
15,Arjun Kapoor,11
255,Ira Singh,11
14395,Naveen Joshi,11
336,Riya Nair,11
4547,Mira Deshmukh,2
191,Riya Joshi,11
353,Diya Verma,11
10762,Ananya Mukherjee,11
16,Rajat Chatterjee,11
390,Tanvi Mukherjee,11
14356,Rajat Reddy,11
2850,Arjun Khan,3
17,Aisha Patel,11
63,Ananya Deshmukh,11
332,Kabir Nair,11
865,Tanvi Agarwal,7
425,Riya Singh,11
91,Aarav Mukherjee,11
9333,Neha Kapoor,11
8980,Rohan Khan,5
18,Yash Kapoor,11
212,Rohit Singh,11
4970,Kunal Banerjee,2
326,Priya Gowda,11
33,Sanya Deshmukh,11
19,Sanya Singh,11
288,Ishita Bose,11
315,Priya Khan,11
14313,Yash Chatterjee,11
10686,Aarav Mukherjee,11
9447,Rahul Patel,11
2535,Aakash Bhat,3
8150,Kunal Bose,6
53,Aisha Gowda,11
310,Yash Deshmukh,11
20,Yash Bose,11
1295,Meera Mehta,0
445,Pooja Chatterjee,11
360,Sneha Deshmukh,11
12353,Ananya Banerjee,7
4787,Jahnvi Joshi,2
13700,Sanya Verma,11
1655,Rajat Chatterjee,1
21,Diya Banerjee,11
2289,Kunal Nair,1
12060,Rohit Iyer,11
12322,Aarav Nair,8
82,Yash Verma,11
10549,Priya Bhat,11
392,Aditi Gowda,11
12931,Riya Chatterjee,11
586,Dev Bose,7
22,Mira Mukherjee,11
14410,Mira Khan,11
9396,Riya Patel,11
5186,Meera Gupta,9
354,Rajat Mehta,11
3223,Rohan Singh,4
13830,Aakash Chatterjee,11
14837,Kabir Khan,11
297,Sanya Deshmukh,11
14042,Kavya Gupta,11
24,Sneha Mehta,11
6914,Siddharth Nair,12
2994,Naveen Sharma,3
14629,Tanvi Chatterjee,11
127,Aditi Sharma,11
6286,Rohan Gowda,10
431,Sneha Banerjee,11
8898,Ira Banerjee,5
26,Kavya Patel,11
412,Sagar Kapoor,11
382,Aarav Gowda,11
10952,Sneha Deshmukh,11
27,Neha Gupta,11
11069,Neha Iyer,11
3166,Vikram Mehta,4
8440,Kunal Kapoor,5
5526,Aditi Gowda,9
13763,Rohan Joshi,7
28,Ananya Chatterjee,11
5125,Rahul Nair,9
14617,Ananya Iyer,11
296,Pooja Bhat,11
207,Ira Agarwal,11
5964,Naveen Kapoor,10
29,Rahul Bose,11
203,Tanvi Reddy,11
13851,Sagar Singh,4
381,Ankit Mehta,11
11927,Jahnvi Reddy,12
14720,Aman Kapoor,11
5809,Rahul Gupta,10
30,Riya Gupta,11
9066,Rahul Mehta,7
10025,Harsh Patel,11
135,Aakash Mehta,11
31,Neha Joshi,11
7613,Zoya Mehta,6
13038,Aisha Iyer,11
8430,Rohit Agarwal,5
32,Aman Gupta,11
9108,Pooja Mukherjee,11
2255,Tanvi Reddy,1
107,Ankit Sharma,11
5136,Aditi Patel,9
256,Naveen Mehta,11
3750,Sneha Bhat,8
367,Meera Bhat,11
12623,Zoya Banerjee,11
5839,Vikram Sharma,10
650,Zoya Khan,7
1612,Kavya Bhat,0
3711,Zoya Nair,8
3196,Rohit Bhat,4
7873,Dev Verma,6
34,Aarohi Mehta,11
35,Rohan Reddy,11
10066,Naveen Gupta,7
13904,Ankit Mehta,11
5498,Aman Gupta,9
7228,Tanvi Sharma,13
36,Aisha Reddy,11
37,Nisha Banerjee,11
58,Jahnvi Chatterjee,11
12968,Ananya Gowda,11
8929,Varun Reddy,5
13653,Aisha Gowda,8
6711,Sneha Sharma,12
38,Nikhil Singh,11
13424,Jahnvi Gupta,4
13547,Dev Singh,11
8923,Nikhil Joshi,5
12004,Vikram Deshmukh,11
11526,Aakash Iyer,11
753,Nisha Verma,7
5486,Sagar Agarwal,9
2949,Aditi Kapoor,3
132,Ananya Deshmukh,11
39,Jahnvi Reddy,11
645,Ishita Reddy,7
3053,Jahnvi Mukherjee,3
388,Aarav Joshi,11
155,Aditi Gupta,11
3387,Rajat Gowda,4
40,Ananya Bhat,11
12848,Aarav Banerjee,11
9901,Kavya Bhat,11
2777,Siddharth Mehta,3
96,Kabir Mukherjee,11
10180,Siddharth Singh,11
3646,Jahnvi Chatterjee,4
3484,Ishita Reddy,4
1448,Ishita Bose,0
14260,Ananya Reddy,7
10683,Sagar Agarwal,11
10957,Aditi Bose,11
398,Meera Bose,11
7740,Aarav Sharma,6
4841,Vikram Agarwal,2
42,Vikram Mukherjee,11
2576,Yash Gowda,3
269,Aisha Verma,11
5615,Tanvi Agarwal,9
5585,Harsh Bose,9
12368,Naveen Mukherjee,0
6585,Ankit Gowda,12
7904,Meera Gupta,6
5409,Ira Verma,9
13735,Dev Kapoor,11
43,Sanya Bhat,11
13767,Vikram Singh,11
1367,Vikram Kapoor,0
9220,Nikhil Patel,11
7693,Rohan Agarwal,6
2360,Rohit Bose,3
44,Jahnvi Kapoor,11
10229,Yash Chatterjee,7
7650,Pooja Iyer,6
6468,Aarav Bose,12
90,Priya Iyer,11
2005,Dev Gupta,1
14354,Rahul Iyer,11
4262,Vikram Chatterjee,8
13088,Ishita Joshi,11
47,Kavya Joshi,11
11007,Pooja Mukherjee,7
10678,Diya Verma,11
48,Zoya Kapoor,11
6385,Naveen Deshmukh,10
59,Kavya Verma,11
5197,Naveen Bhat,9
8074,Rahul Patel,6
161,Aditi Verma,11
14693,Dev Chatterjee,11
8962,Neha Banerjee,5
49,Kavya Iyer,11
7491,Rohit Agarwal,13
1358,Priya Deshmukh,0
50,Rajat Kapoor,11
7505,Kavya Patel,6
8040,Meera Bose,6
8321,Sneha Sharma,11
3954,Aarohi Banerjee,8
12079,Dev Joshi,11
14934,Sneha Banerjee,11
342,Tanvi Banerjee,11
2096,Ananya Sharma,1
10418,Rohit Patel,7
4623,Pooja Verma,2
5373,Aarav Sharma,9
4370,Aisha Agarwal,8
52,Sagar Khan,11
9993,Ankit Mehta,11
170,Aakash Bhat,11
1078,Naveen Singh,0
14133,Pooja Agarwal,11
6745,Aman Nair,12
149,Aarohi Banerjee,11
337,Aarohi Kapoor,11
1133,Kunal Gupta,0
420,Kavya Singh,11
11475,Sneha Gupta,11
7843,Mira Gupta,6
2182,Harsh Chatterjee,1
54,Dev Patel,11
4609,Naveen Singh,2
9246,Aarohi Reddy,11
9477,Rahul Bhat,3
1369,Ira Chatterjee,0
9808,Sagar Khan,11
13213,Aakash Reddy,11
393,Aarav Sharma,11
12137,Arjun Verma,11
14305,Aisha Mukherjee,11
55,Harsh Mukherjee,11
215,Jahnvi Nair,11
56,Nisha Mukherjee,11
86,Riya Kapoor,11
57,Vikram Chatterjee,11
5929,Rohit Gupta,10
6690,Aarohi Singh,12
8175,Tanvi Sharma,6
4422,Ishita Chatterjee,8
6505,Rohan Nair,12
4145,Tanvi Mehta,8
4022,Vikram Deshmukh,8
9106,Nisha Patel,7
6343,Nikhil Bose,10
4868,Sagar Verma,2
162,Ishita Mukherjee,11
9786,Nisha Bose,11
1942,Aakash Bhat,1
7312,Aarav Mukherjee,13
9728,Pooja Chatterjee,11
5172,Nisha Nair,9
8597,Vikram Sharma,3
7002,Priya Khan,13
3123,Jahnvi Agarwal,4
61,Rahul Banerjee,11
4198,Naveen Khan,8
6778,Riya Banerjee,12
14004,Rahul Iyer,0
7093,Nisha Patel,13
12120,Aisha Nair,7
5788,Ankit Verma,10
6883,Aakash Chatterjee,12
62,Sanya Nair,11
173,Aditi Verma,11
2460,Priya Verma,3
12113,Aisha Verma,11
186,Kunal Chatterjee,11
160,Siddharth Khan,11
14575,Priya Reddy,12
369,Sagar Chatterjee,11
5970,Meera Patel,10
12709,Sneha Sharma,11
230,Rajat Deshmukh,11
13621,Sagar Iyer,11
10034,Rahul Banerjee,11
251,Ira Joshi,11
14906,Sagar Patel,11
3385,Tanvi Gowda,4
64,Nisha Singh,11
11384,Aakash Khan,11
5608,Naveen Iyer,9
327,Aakash Sharma,11
5611,Dev Bhat,9
227,Neha Gowda,11
110,Varun Bose,11
14601,Ananya Agarwal,11
2328,Rohan Gowda,3
11476,Yash Khan,1
6847,Ishita Chatterjee,12
66,Rohan Iyer,11
312,Varun Bhat,11
5524,Nisha Kapoor,9
67,Harsh Singh,11
12169,Varun Joshi,8
10779,Ananya Singh,7
12563,Pooja Bhat,11
6504,Sneha Reddy,12
7168,Riya Iyer,13
68,Priya Patel,11
12951,Varun Gowda,11
9006,Pooja Sharma,5
11120,Naveen Chatterjee,11
14262,Aarav Verma,7
1137,Tanvi Bose,0
4931,Ira Chatterjee,2
11079,Zoya Patel,11
69,Rahul Deshmukh,11
8060,Diya Deshmukh,6
71,Aarav Deshmukh,11
11263,Vikram Kapoor,11
3935,Rohit Sharma,8
8098,Kunal Gupta,6
72,Naveen Patel,11
3462,Nikhil Bhat,4
11492,Aakash Mehta,13
9585,Zoya Gupta,0
73,Diya Chatterjee,11
139,Rahul Banerjee,11
14761,Yash Singh,11
11437,Rohan Singh,11
74,Rajat Singh,11
14932,Sanya Banerjee,7
4689,Siddharth Gupta,2
12763,Jahnvi Bhat,11
1613,Jahnvi Gupta,0
13973,Yash Reddy,11
75,Nikhil Mehta,11
10644,Nisha Gowda,11
76,Aditi Khan,11
9017,Aisha Khan,11
13458,Neha Mukherjee,11
2381,Mira Iyer,3
4094,Sneha Bhat,8
3583,Siddharth Patel,4
7866,Pooja Gowda,6
5174,Naveen Kapoor,9
8804,Dev Mukherjee,4
77,Diya Bhat,11
12415,Aisha Mehta,11
3111,Siddharth Mukherjee,4
6994,Rahul Reddy,13
78,Aditi Kapoor,11
8522,Kunal Agarwal,5
79,Tanvi Bose,11
554,Meera Kapoor,7
3721,Tanvi Mehta,8
553,Naveen Chatterjee,7
7991,Nikhil Reddy,6
80,Ankit Mehta,11
6306,Jahnvi Reddy,10
81,Priya Kapoor,11
9470,Yash Joshi,11
9272,Rahul Reddy,7
7089,Meera Khan,13
83,Naveen Joshi,11
8798,Sagar Chatterjee,5
4215,Dev Banerjee,8
13378,Kabir Sharma,11
84,Varun Chatterjee,11
11115,Rahul Kapoor,13
7378,Tanvi Kapoor,13
158,Sagar Mehta,11
3639,Varun Reddy,4
6905,Naveen Gupta,12
7655,Varun Bose,6
11641,Riya Agarwal,7
14593,Naveen Sharma,11
4556,Neha Singh,2
85,Sagar Bose,11
3567,Kavya Nair,4
11709,Sagar Patel,11
13748,Sagar Deshmukh,11
175,Dev Verma,11
9573,Riya Verma,0
449,Aditi Singh,11
9799,Zoya Reddy,11
87,Yash Banerjee,11
111,Jahnvi Sharma,11
5650,Neha Khan,9
13854,Aarav Bhat,11
9873,Rahul Iyer,7
88,Pooja Gupta,11
11589,Ira Banerjee,11
5696,Dev Chatterjee,9
7734,Naveen Gupta,6
89,Pooja Kapoor,11
7142,Aisha Sharma,13
4795,Ishita Mehta,2
5767,Neha Nair,10
2655,Vikram Bhat,3
10179,Dev Sharma,11
11681,Ishita Iyer,11
3603,Ira Kapoor,4
11511,Neha Bhat,11
1817,Ananya Nair,1
4935,Diya Mehta,2
14953,Rajat Nair,11
5578,Arjun Verma,9
8552,Yash Iyer,0
92,Varun Singh,11
14090,Siddharth Bose,7
4870,Rohit Agarwal,2
14077,Arjun Patel,7
8524,Rajat Reddy,5
2369,Ananya Patel,3
12501,Aman Nair,11
9805,Harsh Kapoor,11
8029,Sanya Verma,6
1077,Ishita Mehta,0
411,Aisha Bhat,11
236,Arjun Khan,11
94,Aman Mehta,11
1225,Pooja Patel,0
3393,Neha Joshi,4
95,Rohan Agarwal,11
1578,Jahnvi Gowda,0
14875,Rajat Banerjee,11
11237,Rohit Gowda,7
10275,Ankit Patel,11
7862,Kabir Reddy,6
7441,Ira Mehta,13
9222,Sneha Reddy,0
9754,Kunal Khan,0
190,Arjun Deshmukh,11
287,Nisha Kapoor,11
97,Sagar Patel,11
13055,Naveen Deshmukh,7
1662,Harsh Mehta,1
10863,Tanvi Reddy,11
156,Aarohi Singh,11
13101,Tanvi Reddy,11
99,Kunal Bose,11
1089,Pooja Mehta,0
8438,Jahnvi Reddy,5
8354,Naveen Mehta,5
100,Ira Deshmukh,11
4474,Ishita Bose,2
2383,Harsh Mukherjee,3
6399,Aakash Patel,10
10985,Aarav Bose,11
101,Rajat Mukherjee,11
1628,Nikhil Mehta,0
8969,Rahul Bhat,11
6716,Aisha Banerjee,12
250,Ishita Sharma,11
102,Aarav Singh,11
1061,Yash Bose,0
8222,Dev Joshi,6
352,Aarav Singh,11
11561,Aakash Singh,11
10848,Dev Mehta,11
1845,Aman Verma,1
8130,Ananya Gowda,6
104,Ankit Joshi,11
4622,Sagar Reddy,2
3546,Dev Singh,4
13452,Aakash Verma,11
11731,Mira Nair,0
105,Varun Agarwal,11
5930,Ira Verma,10
106,Sagar Deshmukh,11
12970,Nisha Reddy,7
10969,Aarohi Reddy,11
4062,Tanvi Khan,8
4724,Aakash Banerjee,2
11495,Varun Bhat,11
3208,Ananya Gupta,4
3778,Vikram Iyer,8
4457,Rajat Nair,2
13702,Yash Mukherjee,7
6080,Meera Deshmukh,10
4845,Sagar Patel,2
12283,Aakash Gupta,7
4655,Aarav Mehta,2
108,Nisha Verma,11
5799,Sanya Gupta,10
8740,Naveen Sharma,0
9774,Varun Mehta,11
109,Ishita Verma,11
8639,Pooja Nair,5
8053,Aakash Nair,6
14650,Ishita Patel,13
13590,Sagar Bose,0
7105,Ankit Deshmukh,13
8505,Aakash Sharma,5
3872,Aisha Sharma,8
793,Sanya Bose,7
112,Vikram Bhat,11
361,Tanvi Kapoor,11
9196,Mira Chatterjee,11
13657,Aman Kapoor,11
10348,Varun Kapoor,7
9771,Nikhil Bose,11
11172,Aarohi Reddy,11
114,Harsh Patel,11
11017,Riya Verma,11
115,Aditi Agarwal,11
5112,Neha Patel,9
8326,Siddharth Patel,5
8330,Naveen Gowda,5
1000,Sagar Iyer,0
117,Sagar Bhat,11
7321,Pooja Mukherjee,13
