_id,name,age,gender,city,state,country,primaryLang,languages,joinedAt,education,profession,interests,purpose,thirdParty,community
1,Yash Joshi,22,male,Patna,,India,hi,"hi,en",2018-05-16,undergrad,manager,movies,business,True,0
2,Aakash Sharma,40,male,Thiruvananthapuram,,India,hi,"hi,en",2022-07-01,undergrad,doctor,"politics,travel",gaming,True,0
3,Ira Nair,35,female,Kochi,,India,ml,"ml,en",2024-05-10,postgrad,other,"fitness,politics",networking,False,0
4,Tanvi Joshi,26,female,Thiruvananthapuram,,India,ml,"ml,en",2017-06-27,undergrad,sales,"travel,gaming,politics",networking,False,0
5,Aarav Nair,32,male,Kolkata,,India,ta,"ta,en,as",2017-12-27,phd,teacher,sports,gaming,True,0
6,Sagar Patel,25,male,Hyderabad,,India,pa,"pa,en",2016-09-21,phd,data_scientist,"fashion,music,science",news,False,0
7,Kabir Deshmukh,60,male,Bhubaneswar,,India,or,or,2020-01-19,other,lawyer,"travel,gaming,science",business,False,0
8,Neha Mehta,21,female,Kolkata,,India,bn,bn,2023-08-13,highschool,developer,"fitness,tech,photography",news,False,0
9,Kabir Reddy,36,male,Bhubaneswar,,India,or,"or,en",2024-09-10,highschool,researcher,"cooking,tech",business,False,0
10,Sagar Nair,40,male,Mumbai,,India,mr,"mr,en,kn",2025-08-17,highschool,student,"fitness,politics,photography",learning,True,0
11,Neha Gupta,56,female,Kochi,,India,mr,"mr,en",2023-07-20,undergrad,researcher,reading,socializing,False,0
12,Ankit Sharma,29,male,Kochi,,India,or,or,2017-09-06,other,doctor,nature,business,False,0
13,Rajat Deshmukh,50,male,Guwahati,,India,as,"as,en",2020-04-13,highschool,developer,fashion,socializing,False,0
14,Siddharth Singh,27,male,Chennai,,India,ta,"ta,en",2017-09-18,phd,artist,art,business,False,0
15,Arjun Kapoor,56,male,Ahmedabad,,India,as,"as,en",2023-03-26,highschool,student,nature,socializing,False,0
16,Rajat Chatterjee,32,male,Mumbai,,India,pa,"pa,en,mr",2019-08-12,highschool,engineer,cooking,socializing,False,0
17,Aisha Patel,22,female,Delhi,,India,or,or,2022-05-05,phd,artist,sports,news,False,0
